systemId,Code,Quantity,Amount,Sale Date,Transaction ID
27337,9549,22,0.000000000,2022-03-10,382569
22138,1120,20,387.600000000,2022-03-10,382661
22138,9524,20,127.200000000,2022-03-10,382661
22138,9525,12,129.240000000,2022-03-10,382661
15777,9337,6,148.920000000,2022-03-10,382738
25762,594,6,197.940000000,2022-03-10,382653
7437,9337,60,1564.800000000,2022-03-10,382613
26472,9337,6,156.480000000,2022-03-10,382538
24893,9524,20,132.200000000,2022-03-10,382609
24893,9525,12,133.320000000,2022-03-10,382609
23057,9525,12,133.320000000,2022-03-10,382586
20987,9337,12,312.960000000,2022-03-10,382705
20627,1057,8,245.040000000,2022-03-10,382594
26204,9337,12,312.960000000,2022-03-10,382762
26123,594,6,198.840000000,2022-03-10,382616
26123,1072,3,177.360000000,2022-03-10,382616
16598,908,4,145.600000000,2022-03-10,382641
16598,1058,12,351.960000000,2022-03-10,382641
26568,1057,8,262.800000000,2022-03-10,382571
20292,594,12,395.880000000,2022-03-10,382674
20292,850,2,83.160000000,2022-03-10,382674
27158,1120,10,0.000000000,2022-03-10,382600
27158,1120,100,1938.000000000,2022-03-10,382598
27158,9527,16,158.880000000,2022-03-10,382598
27158,9549,44,373.560000000,2022-03-10,382598
21060,850,5,207.900000000,2022-03-10,382178
21060,1048,6,261.840000000,2022-03-10,382178
21060,1058,3,87.150000000,2022-03-10,382178
3362,594,16,461.280000000,2022-03-10,382646
27105,9337,6,145.860000000,2022-03-10,382717
22167,9337,12,347.880000000,2022-03-10,382618
4666,594,3,98.970000000,2022-03-10,382577
11766,1120,10,193.800000000,2022-03-10,382575
11766,9524,20,132.200000000,2022-03-10,382575
11766,9525,12,133.320000000,2022-03-10,382575
11766,9549,22,186.780000000,2022-03-10,382575
16045,1095,6,226.380000000,2022-03-10,382559
20291,9525,60,666.600000000,2022-03-10,382683
20291,9549,22,186.780000000,2022-03-10,382683
17420,9525,12,133.320000000,2022-03-10,382543
17420,1120,10,172.900000000,2022-03-10,382686
22647,9549,22,186.780000000,2022-03-10,382696
17421,9525,24,266.640000000,2022-03-10,382550
18853,9525,60,666.600000000,2022-03-10,382573
18853,9527,16,158.880000000,2022-03-10,382573
18853,9549,22,186.780000000,2022-03-10,382573
18853,9525,12,0.000000000,2022-03-10,382574
16948,594,12,358.920000000,2022-03-10,382735
23827,1057,16,525.600000000,2022-03-10,382611
25998,1057,8,262.800000000,2022-03-10,382703
26203,9337,12,297.000000000,2022-03-10,382632
4523,594,80,2194.400000000,2022-03-10,382798
4523,1058,20,532.600000000,2022-03-10,382798
19871,9525,12,133.320000000,2022-03-10,382546
19871,1120,10,172.900000000,2022-03-10,382689
19850,9525,12,133.320000000,2022-03-10,382547
19850,1120,10,172.900000000,2022-03-10,382690
19849,9525,24,266.640000000,2022-03-10,382545
18471,9525,12,133.320000000,2022-03-10,382513
24543,594,6,205.440000000,2022-03-10,382770
23563,1120,40,720.000000000,2022-03-10,382629
23563,9525,24,266.640000000,2022-03-10,382629
23563,9527,16,158.880000000,2022-03-10,382629
21774,9525,24,266.640000000,2022-03-10,382628
21774,9527,16,158.880000000,2022-03-10,382628
16619,9549,22,186.780000000,2022-03-10,382670
